Papel,Cota��o,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Ebit,Mrg. L�q.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. L�q,D�v.Brut/ Patrim.,Cresc. Rec.5a
AHEB6,3550,242,226,0469,"0,00%",595,164,200,-424,145,139,"23,46%","19,37%",255,"39,18%","93,20%",15778,"134.277.000,00",002,"50,37%"
CTKA3,2000,246,-149,0184,"0,00%",194,070,222,-45,966,722,"8,29%","7,48%",166,"11,27%","-60,71%",66967,"-83.184.000,00",-563,"19,02%"
AHEB3,3600,246,229,0476,"0,00%",603,166,203,-430,148,142,"23,46%","19,37%",255,"39,18%","93,20%","2.812,96","134.277.000,00",002,"50,37%"
CTPC4,650,248,003,0000,"0,00%",3,000,-055,0,-244,-244,"0,00%","0,00%",0,"0,00%","1,41%",000,"2.411.000,00",000,"-6,10%"
FIGE3,1203,258,017,0000,"0,38%",0,000,000,0,000,000,"0,00%","0,00%",0,"0,00%","6,67%",000,"165.355.000,00",000,"45,08%"
ESCE3,17200,260,054,0194,"0,00%",132,-227,100,-24,394,326,"19,36%","7,47%",78,"14,58%","20,77%",000,"1.870.550.000,00",172,"8,46%"
SYNE3,826,267,063,0891,"34,90%",278,083,234,521,165,142,"38,02%","42,31%",574,"17,14%","23,57%","5.604.930,00","2.005.940.000,00",050,"22,91%"
ATOM3,211,270,132,1936,"0,00%",986,311,4151,640,3559,2331,"4,66%","76,09%",935,"2,79%","48,95%","18.800,60","38.072.000,00",000,"3,87%"
BOBR3,100,270,-1261,0173,"0,00%",295,-684,114,-60,223,199,"15,13%","6,41%",93,"37,91%","-467,04%",000,"-20.664.000,00",-1523,"10,32%"
BRML3,826,273,052,4387,"0,00%",346,-3950,664,-131,754,691,"66,10%","162,10%",89,"5,51%","19,14%",000,"13.074.200.000,00",015,"10,69%"
CYRE4,850,288,040,0502,"0,00%",186,049,312,361,536,505,"16,12%","19,58%",327,"7,17%","13,87%",000,"8.498.780.000,00",062,"15,63%"
MARI3,293,304,076,0346,"0,00%",384,095,499,165,489,489,"6,94%","11,37%",223,"10,67%","25,13%",000,"706.711.000,00",032,"11,89%"
VALE5,3336,311,074,0721,"0,00%",314,2503,183,-82,241,203,"39,30%","23,32%",108,"19,72%","23,72%",000,"205.451.000.000,00",041,"2,80%"
CEDO4,2457,318,106,0242,"0,00%",276,266,120,-118,285,255,"20,23%","7,89%",126,"25,49%","33,37%","20.099,70","231.462.000,00",149,"15,56%"
ETER3,609,324,048,0337,"7,52%",286,126,724,678,1001,545,"4,66%","10,39%",201,"4,21%","14,89%","2.986.460,00","778.772.000,00",020,"19,61%"
POSI3,683,338,058,0226,"6,12%",219,065,262,307,453,392,"8,65%","6,79%",195,"11,60%","17,21%","12.098.000,00","1.665.330.000,00",074,"22,27%"
CEDO3,2611,338,113,0257,"0,00%",293,282,127,-126,292,262,"20,23%","7,89%",126,"25,49%","33,37%","3.295,80","231.462.000,00",149,"15,56%"
CAMB4,625,348,097,0586,"0,00%",688,246,266,351,232,206,"22,02%","16,84%",237,"30,68%","27,81%",000,"272.935.000,00",001,"33,96%"
REDE4,290,352,142,0360,"0,00%",207,372,139,-41,381,321,"25,87%","14,18%",125,"17,79%","40,32%",000,"4.309.280.000,00",327,"11,13%"
ELPL4,1598,360,062,0163,"0,00%",111,-533,101,-19,316,241,"16,23%","4,54%",92,"12,34%","17,19%",000,"5.101.420.000,00",144,"6,67%"
VVEO3,204,360,020,0057,"6,69%",63,018,168,-63,794,461,"3,41%","1,60%",237,"5,23%","5,61%","7.636.170,00","3.259.290.000,00",120,"28,30%"
EUCA4,1598,361,058,0553,"5,76%",337,192,399,-740,564,339,"13,87%","15,31%",188,"9,44%","16,12%","701.394,00","2.543.280.000,00",033,"14,13%"
BGIP4,2303,364,060,0000,"10,05%",0,000,000,0,000,000,"0,00%","0,00%",0,"0,00%","16,43%","41.905,50","714.729.000,00",000,"2,76%"
STBP11,1440,364,108,0976,"0,00%",516,-6222,240,-140,262,214,"40,68%","26,82%",95,"23,72%","29,75%",000,"2.297.950.000,00",023,"28,55%"
PTPA3,7650,369,114,0505,"0,00%",375,228,363,-127,706,533,"13,93%","13,69%",179,"13,27%","30,85%",000,"1.201.690.000,00",159,"18,08%"
BRAP3,1760,378,082,0000,"15,34%",813,2877,-31565,2904,-30221,-30221,"0,00%","0,00%",541,"-0,27%","21,68%","1.495.060,00","8.451.830.000,00",000,"0,00%"
EUCA3,1675,378,061,0579,"4,99%",354,201,418,-776,583,351,"13,87%","15,31%",188,"9,44%","16,12%","6.632,84","2.543.280.000,00",033,"14,13%"
PTPA4,8000,386,119,0528,"0,00%",392,238,379,-133,723,545,"13,93%","13,69%",179,"13,27%","30,85%",000,"1.201.690.000,00",159,"18,08%"
CSRN3,1300,394,132,0602,"20,83%",358,300,230,-78,483,408,"26,16%","15,30%",181,"18,25%","33,56%","100.008,00","1.654.000.000,00",182,"8,91%"
BGIP3,2550,403,066,0000,"8,25%",0,000,000,0,000,000,"0,00%","0,00%",0,"0,00%","16,43%","2.253,82","714.729.000,00",000,"2,76%"
VINE3,1720,404,065,0577,"0,00%",340,138,452,760,740,554,"12,76%","14,42%",191,"8,62%","16,14%",000,"1.118.520.000,00",060,"2,21%"
BAZA3,9520,405,083,0000,"6,94%",0,000,000,0,000,000,"0,00%","0,00%",0,"0,00%","20,40%","267.902,00","6.461.360.000,00",000,"18,84%"
BRAP4,1889,405,088,0000,"15,72%",873,3088,-33879,3117,-32534,-32534,"0,00%","0,00%",541,"-0,27%","21,68%","50.474.000,00","8.451.830.000,00",000,"0,00%"
HAGA4,117,408,-027,0496,"0,00%",216,044,-677,-23,517,1158,"-7,33%","12,15%",230,"-11,56%","-6,56%","14.351,50","-52.041.700,00",-040,"1,28%"
DAYC4,890,412,071,0000,"0,00%",0,000,000,0,000,000,"0,00%","0,00%",0,"0,00%","17,33%",000,"3.009.030.000,00",000,"8,15%"
VINE5,1764,414,067,0592,"0,00%",349,141,464,780,752,563,"12,76%","14,42%",191,"8,62%","16,14%",000,"1.118.520.000,00",060,"2,21%"
MTBR3,099,430,059,0123,"0,00%",155,282,175,-535,036,029,"7,04%","2,89%",108,"25,94%","13,84%",000,"2.502.520.000,00",046,"8,42%"
CLSC3,7162,436,082,0265,"3,87%",222,-7218,267,-49,511,388,"9,94%","6,08%",99,"9,47%","18,89%","8.317,64","3.354.440.000,00",094,"5,51%"
BNBR3,11150,438,084,0000,"2,91%",0,000,000,0,000,000,"0,00%","0,00%",0,"0,00%","19,08%","21.730,80","11.528.200.000,00",000,"18,35%"
CSRN6,1450,439,147,0672,"20,55%",399,334,257,-87,510,430,"26,16%","15,30%",181,"18,25%","33,56%","8.475,20","1.654.000.000,00",182,"8,91%"
PINE4,499,448,094,0000,"7,37%",0,000,000,0,000,000,"0,00%","0,00%",0,"0,00%","20,94%","1.036.100,00","1.118.470.000,00",000,"67,30%"
MTBR4,105,456,063,0131,"0,00%",165,299,186,-568,046,038,"7,04%","2,89%",108,"25,94%","13,84%",000,"2.502.520.000,00",046,"8,42%"
CPFP4,4400,458,363,0403,"0,00%",307,-386,211,-46,559,489,"19,06%","8,80%",76,"16,33%","79,27%",000,"643.940.000,00",633,"7,68%"
VBBR3,2545,459,172,0169,"7,62%",643,192,476,-949,651,595,"3,55%","3,69%",249,"18,15%","37,54%","169.026.000,00","16.538.000.000,00",113,"21,11%"
CSRN5,1518,460,154,0703,"19,63%",418,350,269,-91,522,440,"26,16%","15,30%",181,"18,25%","33,56%","7.453,16","1.654.000.000,00",182,"8,91%"
FRAS4,579,461,077,0453,"0,00%",349,095,302,388,275,217,"14,97%","10,16%",239,"19,45%","16,65%",000,"2.035.240.000,00",061,"25,71%"
BBAS3,2822,464,094,0000,"8,84%",0,000,000,0,000,000,"0,00%","0,00%",0,"0,00%","20,27%","422.895.000,00","171.885.000.000,00",000,"30,51%"
ALLD3,770,469,045,0127,"26,30%",199,066,424,151,530,396,"3,00%","2,71%",178,"8,17%","9,66%","666.254,00","1.596.440.000,00",038,"-0,75%"
VCPA4,2601,472,102,0789,"0,00%",353,376,201,-100,405,299,"39,18%","16,75%",146,"22,95%","21,57%",000,"14.149.000.000,00",146,"22,71%"
BPAR3,18207,474,085,0000,"0,00%",0,000,000,0,000,000,"0,00%","0,00%",0,"0,00%","17,84%",000,"2.051.260.000,00",000,"7,78%"
CLSC4,7918,482,091,0293,"3,85%",246,-7980,295,-55,540,409,"9,94%","6,08%",99,"9,47%","18,89%","286.656,00","3.354.440.000,00",094,"5,51%"
EVEN3,656,484,067,0415,"15,34%",227,039,345,211,556,545,"12,04%","12,22%",418,"7,51%","13,80%","3.805.110,00","1.964.390.000,00",073,"16,68%"
NATU3,3686,486,375,2174,"0,00%",1901,574,1116,1168,1086,1006,"19,47%","44,71%",202,"26,70%","77,07%",000,"9.049.700.000,00",018,"-7,05%"
HBRE3,529,503,027,3525,"0,00%",113,216,127,-35,418,415,"277,04%","155,94%",188,"9,31%","5,40%","1.787.590,00","2.010.960.000,00",072,"26,43%"
EALT4,1303,511,113,0550,"3,90%",494,1386,455,-361,623,460,"12,09%","10,77%",109,"11,70%","22,12%","561.928,00","259.603.000,00",047,"21,31%"
PINE3,570,512,107,0000,"0,00%",0,000,000,0,000,000,"0,00%","0,00%",0,"0,00%","20,94%","15.139,40","1.118.470.000,00",000,"67,30%"
CGAS3,10900,517,1028,0978,"15,52%",1015,2968,539,-178,788,640,"18,16%","18,91%",111,"23,08%","198,66%","14.026,30","1.405.510.000,00",586,"17,47%"
ETER4,985,525,078,0545,"0,00%",462,204,1170,1097,1448,789,"4,66%","10,39%",201,"4,21%","14,89%",000,"778.772.000,00",020,"19,61%"
VALE3,5740,535,127,1240,"12,48%",541,4307,316,-140,373,314,"39,30%","23,32%",108,"19,72%","23,72%","1.386.270.000,00","205.451.000.000,00",041,"2,80%"
SCAR3,2300,536,079,1161,"7,58%",429,267,308,-185,575,516,"37,66%","21,51%",374,"14,68%","14,72%","380.098,00","1.683.650.000,00",078,"40,46%"
NEOE3,2011,547,077,0547,"4,12%",231,501,273,-50,738,564,"20,07%","10,13%",124,"9,69%","14,11%","18.198.300,00","31.610.000.000,00",162,"11,59%"
EALT3,1400,549,121,0591,"3,30%",531,1489,489,-388,657,485,"12,09%","10,77%",109,"11,70%","22,12%","140.335,00","259.603.000,00",047,"21,31%"
HBOR3,216,549,020,0224,"4,21%",45,015,149,-154,1052,903,"15,05%","13,73%",210,"3,25%","3,70%","1.054.510,00","1.422.300.000,00",147,"2,53%"
EQMA3B,2515,549,108,0694,"9,46%",408,2610,311,-119,491,407,"22,32%","12,65%",106,"15,79%","19,68%","18.888,80","3.821.960.000,00",092,"11,41%"
CGAS5,11580,550,1092,1039,"16,06%",1078,3153,572,-189,821,667,"18,16%","18,91%",111,"23,08%","198,66%","225.902,00","1.405.510.000,00",586,"17,47%"
JHSF3,446,552,059,1975,"6,53%",253,150,522,-114,973,874,"37,84%","39,92%",216,"5,41%","10,72%","13.521.500,00","5.116.890.000,00",075,"13,35%"
SAPR3,555,553,082,1258,"4,56%",425,642,329,-131,523,435,"38,27%","22,76%",171,"14,20%","14,90%","1.127.170,00","10.179.800.000,00",063,"8,23%"
BMGB4,379,556,054,0000,"13,82%",0,000,000,0,000,000,"0,00%","0,00%",0,"0,00%","9,64%","1.973.240,00","4.120.420.000,00",000,"-7,40%"
VLID3,2217,560,110,0827,"7,51%",664,188,420,496,434,343,"19,71%","14,68%",312,"20,98%","19,58%","8.547.860,00","1.653.420.000,00",036,"0,93%"
BPIA3,610,564,106,0000,"0,00%",0,000,000,0,000,000,"0,00%","0,00%",0,"0,00%","18,84%",000,"77.395.000,00",000,"13,41%"
DSUL3,795,565,097,0879,"0,00%",721,193,237,270,127,127,"37,13%","16,02%",350,"48,91%","17,25%",000,"236.447.000,00",001,"36,69%"
RNPT4,3181,574,039,0467,"0,00%",379,5701,5610,5701,5605,5605,"0,83%","8,13%",138,"0,68%","6,72%",000,"63.944.000,00",000,"4,85%"
RNPT3,3187,575,039,0468,"0,00%",380,5712,5621,5712,5615,5615,"0,83%","8,13%",138,"0,68%","6,72%",000,"63.944.000,00",000,"4,85%"
TECN3,575,576,092,1025,"2,85%",579,113,598,214,584,690,"17,14%","17,80%",510,"12,19%","15,94%","2.701.480,00","401.873.000,00",021,"10,01%"
WIZC3,627,576,183,0830,"3,93%",396,-8664,164,-134,177,147,"50,58%","24,39%",98,"29,67%","31,70%","2.280.550,00","549.042.000,00",065,"12,98%"
CMIG4,1201,577,129,0907,"11,16%",606,-6085,443,-202,556,474,"20,47%","15,74%",96,"15,19%","22,35%","143.615.000,00","26.672.800.000,00",044,"12,00%"
SAPR11,2901,578,086,1316,"4,71%",444,671,344,-137,538,447,"38,27%","22,76%",171,"14,20%","14,90%","25.712.300,00","10.179.800.000,00",063,"8,23%"
BOBR4,215,580,-2710,0372,"0,00%",635,-1471,246,-130,354,317,"15,13%","6,41%",93,"37,91%","-467,04%","47.858,00","-20.664.000,00",-1523,"10,32%"
SAPR4,585,583,087,1326,"4,75%",448,677,347,-138,541,449,"38,27%","22,76%",171,"14,20%","14,90%","6.217.180,00","10.179.800.000,00",063,"8,23%"
TKNO4,8900,591,087,0927,"4,66%",715,173,610,191,447,388,"15,21%","15,69%",399,"15,82%","14,69%","1.920,00","302.258.000,00",001,"13,92%"
CEEB5,3900,593,152,0667,"7,46%",350,-1410,257,-62,596,485,"25,95%","11,25%",89,"14,97%","25,64%",000,"6.725.000.000,00",223,"10,07%"
BRSR6,1259,595,051,0000,"4,76%",0,000,000,0,000,000,"0,00%","0,00%",0,"0,00%","8,57%","15.022.600,00","10.096.100.000,00",000,"7,31%"
CEEB3,3940,599,154,0674,"7,39%",354,-1424,260,-62,599,487,"25,95%","11,25%",89,"14,97%","25,64%","26.945,70","6.725.000.000,00",223,"10,07%"
TIET11,1744,609,313,3010,"0,00%",638,"1.434,52",502,-105,878,662,"59,93%","49,91%",100,"13,97%","51,45%",000,"2.222.740.000,00",267,"7,76%"
TIET3,349,609,313,3012,"0,00%",638,"1.435,34",503,-105,878,663,"59,93%","49,91%",100,"13,97%","51,45%",000,"2.222.740.000,00",267,"7,76%"
CSMG3,2353,609,117,1162,"15,34%",625,3559,416,-195,622,456,"27,96%","19,08%",114,"16,03%","19,25%","33.678.300,00","7.632.250.000,00",065,"9,82%"
PETR4,3689,611,129,0964,"17,18%",455,-2579,214,-92,331,250,"45,15%","15,87%",90,"23,37%","21,09%","1.136.820.000,00","373.479.000.000,00",089,"18,69%"
TIET4,351,613,315,3029,"0,00%",642,"1.443,57",506,-105,881,665,"59,93%","49,91%",100,"13,97%","51,45%",000,"2.222.740.000,00",267,"7,76%"
POMO3,538,616,164,0840,"8,05%",717,261,549,2627,675,591,"15,29%","13,77%",188,"17,40%","26,59%","1.126.630,00","3.730.080.000,00",073,"19,53%"
ABCB4,2355,618,092,0000,"6,38%",0,000,000,0,000,000,"0,00%","0,00%",0,"0,00%","14,96%","16.450.400,00","6.235.070.000,00",000,"13,50%"
SOJA3,1333,619,139,0909,"6,15%",563,157,751,202,805,754,"12,10%","17,98%",198,"11,55%","22,50%","7.907.210,00","1.294.970.000,00",074,"50,11%"
TRPL4,2517,621,089,2435,"8,76%",430,366,501,-128,768,761,"48,61%","40,09%",330,"9,25%","14,36%","92.727.200,00","18.604.600.000,00",062,"15,22%"
BMEB3,3550,622,207,0000,"4,76%",0,000,000,0,000,000,"0,00%","0,00%",0,"0,00%","33,26%","28.417,40","1.798.950.000,00",000,"20,61%"
GOAU4,1055,627,058,0169,"11,86%",132,052,158,213,240,165,"10,65%","7,96%",286,"9,85%","9,25%","57.865.300,00","18.770.900.000,00",067,"13,99%"
DEXP4,950,629,114,0625,"4,89%",696,149,716,264,614,506,"8,73%","11,30%",355,"15,34%","18,05%","214.980,00","913.786.000,00",031,"18,34%"
EQPA3,626,630,322,1304,"12,14%",902,1709,430,-237,521,456,"30,29%","20,70%",119,"26,15%","51,07%","127.187,00","4.299.200.000,00",114,"17,70%"
GOAU3,1072,637,059,0171,"11,67%",134,053,161,216,243,166,"10,65%","7,96%",286,"9,85%","9,25%","417.643,00","18.770.900.000,00",067,"13,99%"
MDNE3,1484,639,086,0980,"0,00%",347,133,525,-249,562,540,"18,66%","15,33%",233,"7,34%","13,45%","6.830.020,00","1.465.790.000,00",022,"41,68%"
LAVV3,875,640,127,1677,"7,30%",657,096,802,153,749,745,"20,90%","27,51%",561,"10,82%","19,81%","5.514.200,00","1.376.380.000,00",036,"20,46%"
ECOR3,770,641,166,0549,"3,61%",193,526,157,-29,589,470,"34,91%","8,90%",123,"15,02%","25,83%","27.281.600,00","3.237.420.000,00",599,"26,25%"
BRSR3,1363,644,055,0000,"4,40%",0,000,000,0,000,000,"0,00%","0,00%",0,"0,00%","8,57%","73.598,10","10.096.100.000,00",000,"7,31%"
DEXP3,975,646,117,0642,"4,51%",715,153,735,271,633,522,"8,73%","11,30%",355,"15,34%","18,05%","1.079.610,00","913.786.000,00",031,"18,34%"
LEVE3,3145,648,429,0995,"24,47%",1337,421,533,-2449,611,542,"18,65%","15,35%",201,"34,32%","66,25%","12.649.800,00","993.590.000,00",104,"18,41%"
PETR3,3939,652,138,1030,"16,09%",485,-2753,228,-98,345,261,"45,15%","15,87%",90,"23,37%","21,09%","318.406.000,00","373.479.000.000,00",089,"18,69%"
CMIN3,555,658,259,1686,"9,28%",987,353,477,-571,432,368,"35,33%","25,62%",267,"36,91%","39,37%","48.858.200,00","11.746.500.000,00",076,"-4,26%"
CIQU3,1249,663,105,0413,"0,00%",515,333,425,755,750,523,"9,72%","6,22%",136,"12,70%","15,87%",000,"296.175.000,00",084,"16,23%"
CIQU4,1249,663,105,0413,"0,00%",515,333,425,755,750,523,"9,72%","6,22%",136,"12,70%","15,87%",000,"296.175.000,00",084,"16,23%"
GGBR3,1626,677,062,0531,"5,38%",416,167,497,719,584,400,"10,67%","7,89%",283,"9,87%","9,18%","669.671,00","55.130.300.000,00",023,"13,99%"
ELPL6,3020,680,117,0309,"0,00%",209,-1008,190,-36,406,310,"16,23%","4,54%",92,"12,34%","17,19%",000,"5.101.420.000,00",144,"6,67%"
BMEB4,3886,681,226,0000,"4,79%",0,000,000,0,000,000,"0,00%","0,00%",0,"0,00%","33,26%","437.493,00","1.798.950.000,00",000,"20,61%"
CGRA3,2511,682,058,0755,"10,04%",416,151,729,259,526,362,"10,36%","11,08%",268,"6,96%","8,45%","43.227,60","910.008.000,00",000,"11,44%"
COCE5,3177,685,050,0307,"3,04%",183,-097,173,-43,531,376,"17,76%","4,48%",53,"11,78%","7,26%","410.626,00","4.976.910.000,00",108,"10,79%"
CAMB3,1230,685,191,1154,"4,39%",1355,483,524,690,489,435,"22,02%","16,84%",237,"30,68%","27,81%","440.808,00","272.935.000,00",001,"33,96%"
EEEL4,41000,686,161,2050,"0,00%",508,369,385,-111,639,634,"53,28%","30,05%",255,"14,88%","23,44%",000,"2.445.040.000,00",139,"12,80%"
ELPL5,3050,687,118,0312,"0,00%",211,-1018,192,-36,408,311,"16,23%","4,54%",92,"12,34%","17,19%",000,"5.101.420.000,00",144,"6,67%"
CMIG3,1442,692,155,1089,"9,30%",727,-7307,532,-243,645,550,"20,47%","15,74%",96,"15,19%","22,35%","2.159.600,00","26.672.800.000,00",044,"12,00%"
TRIS3,480,698,064,0774,"4,12%",323,071,861,123,1512,1325,"8,99%","11,39%",259,"4,28%","9,15%","2.486.530,00","1.401.460.000,00",068,"7,26%"
RSUL4,6434,700,190,1088,"3,31%",1009,349,439,1400,392,365,"24,80%","15,53%",215,"28,95%","27,09%","162.843,00","205.895.000,00",006,"21,49%"
CGRA4,2585,702,059,0778,"9,76%",428,156,751,267,548,377,"10,36%","11,08%",268,"6,96%","8,45%","164.767,00","910.008.000,00",000,"11,44%"
EEEL3,42101,705,165,2105,"0,00%",521,379,395,-114,649,645,"53,28%","30,05%",255,"14,88%","23,44%",000,"2.445.040.000,00",139,"12,80%"
MRSA5B,2900,705,139,1386,"3,06%",560,848,349,-145,468,349,"39,77%","19,65%",145,"19,80%","19,69%",94511,"7.056.390.000,00",085,"21,77%"
MRSA5B,2900,705,139,1386,"3,06%",560,848,349,-145,468,349,"39,77%","19,65%",145,"19,80%","19,69%",94511,"7.056.390.000,00",085,"21,77%"
JOPA3,2100,711,037,0101,"2,06%",99,023,150,146,508,463,"6,70%","1,65%",245,"9,65%","5,21%","1.094,78","599.884.000,00",198,"13,77%"
CPFE3,3377,711,203,0965,"8,16%",526,-30641,346,-101,562,479,"27,85%","13,62%",99,"16,86%","28,53%","47.605.500,00","19.176.400.000,00",147,"8,07%"
COCE3,3300,711,052,0319,"2,92%",190,-101,180,-45,537,381,"17,76%","4,48%",53,"11,78%","7,26%",79880,"4.976.910.000,00",108,"10,79%"
CEBR5,1668,723,117,3408,"11,38%",856,187,941,207,446,420,"36,22%","62,64%",962,"16,75%","16,19%","49.930,40","1.027.530.000,00",000,"-42,29%"
ROMI3,1128,728,088,0904,"6,38%",443,141,1296,376,1836,1082,"6,97%","12,46%",206,"4,13%","12,06%","1.827.880,00","1.196.710.000,00",062,"9,32%"
NTCO3,1375,744,086,0760,"5,38%",468,428,887,-417,990,637,"8,57%","10,22%",147,"6,83%","11,53%","119.148.000,00","22.237.700.000,00",026,"-14,80%"
PRIO3,4705,744,236,2880,"0,15%",1125,782,515,-468,599,458,"55,89%","38,72%",204,"27,40%","31,76%","369.045.000,00","17.766.800.000,00",075,"73,92%"
SMTO3,2935,746,157,1413,"3,05%",470,330,954,-124,1614,499,"14,81%","18,94%",180,"6,07%","21,03%","46.794.500,00","6.478.960.000,00",161,"16,28%"
WLMM3,2765,749,136,0330,"4,66%",933,249,566,311,596,579,"5,83%","4,40%",256,"19,69%","18,21%","3.000,51","738.532.000,00",025,"28,41%"
MTSA4,4436,754,086,0821,"4,46%",692,116,1700,120,1192,748,"4,83%","10,88%",430,"6,07%","11,46%","156.965,00","451.031.000,00",010,"14,15%"
COCE6,3500,754,055,0338,"0,00%",201,-107,190,-48,548,388,"17,76%","4,48%",53,"11,78%","7,26%",000,"4.976.910.000,00",108,"10,79%"
GETT3,240,755,124,1336,"0,00%",81,313,604,336,686,478,"22,13%","17,66%",103,"1,36%","16,41%",000,"3.618.060.000,00",034,"0,00%"
GETT4,240,755,124,1336,"0,00%",81,313,604,336,686,478,"22,13%","17,66%",103,"1,36%","16,41%",000,"3.618.060.000,00",034,"0,00%"
GGBR4,1828,761,070,0597,"4,79%",468,187,559,808,645,442,"10,67%","7,89%",283,"9,87%","9,18%","176.661.000,00","55.130.300.000,00",023,"13,99%"
DPPI4,3890,762,228,-0665,"0,00%",1718,398,8728,446,7374,7374,"-0,76%","-5,04%",314,"3,00%","29,97%",000,"545.227.000,00",006,"15,14%"
CCTU4,3728,765,092,0307,"0,00%",405,229,1456,-2832,2177,2177,"2,10%","4,00%",148,"2,96%","12,07%",000,"82.550.000,00",048,"12,54%"
CYRE3,2257,766,106,1333,"4,12%",494,130,827,959,1052,990,"16,12%","19,58%",327,"7,17%","13,87%","116.029.000,00","8.498.780.000,00",062,"15,63%"
BALM4,1080,770,067,0637,"7,19%",402,088,499,129,281,228,"12,78%","7,24%",274,"11,32%","8,70%","4.211,44","157.918.000,00",012,"3,71%"
EKTR3,4003,776,341,0867,"21,68%",652,3659,358,-133,613,522,"24,21%","11,18%",106,"21,94%","43,92%",17231,"2.277.000.000,00",299,"7,47%"
ENBR3,2408,779,123,0812,"0,00%",395,791,332,-103,569,485,"24,44%","11,63%",124,"13,70%","15,82%",000,"11.353.500.000,00",117,"3,17%"
CEBR6,1800,780,126,3677,"11,60%",923,201,1015,223,520,490,"36,22%","62,64%",962,"16,75%","16,19%","125.872,00","1.027.530.000,00",000,"-42,29%"
MRSA6B,3250,791,156,1554,"2,73%",627,950,391,-163,511,381,"39,77%","19,65%",145,"19,80%","19,69%","1.230,09","7.056.390.000,00",085,"21,77%"
MRSA6B,3250,791,156,1554,"2,73%",627,950,391,-163,511,381,"39,77%","19,65%",145,"19,80%","19,69%","1.230,09","7.056.390.000,00",085,"21,77%"
ITSA4,1096,791,135,14801,"7,05%",1046,1592,18054,-1488,18700,6247,"8,20%","191,75%",225,"0,63%","17,13%","221.001.000,00","83.551.000.000,00",014,"9,43%"
ITSA3,1096,791,135,14801,"7,05%",1046,1592,18054,-1488,18700,6247,"8,20%","191,75%",225,"0,63%","17,13%","1.595.750,00","83.551.000.000,00",014,"9,43%"
POMO4,695,796,212,1085,"6,24%",926,337,710,3393,835,731,"15,29%","13,77%",188,"17,40%","26,59%","49.996.900,00","3.730.080.000,00",073,"19,53%"
KEPL3,1151,799,280,1280,"9,60%",1363,371,724,783,653,576,"17,69%","16,01%",215,"31,43%","35,05%","10.987.400,00","738.241.000,00",042,"31,15%"
TRPL3,3244,800,115,3138,"6,79%",554,472,646,-165,912,904,"48,61%","40,09%",330,"9,25%","14,36%","85.008,20","18.604.600.000,00",062,"15,22%"
MRSA3B,3299,802,158,1577,"0,00%",637,964,397,-165,516,385,"39,77%","19,65%",145,"19,80%","19,69%","2.653,18","7.056.390.000,00",085,"21,77%"
MRSA3B,3299,802,158,1577,"0,00%",637,964,397,-165,516,385,"39,77%","19,65%",145,"19,80%","19,69%","2.653,18","7.056.390.000,00",085,"21,77%"
BRSR5,1700,803,069,0000,"3,70%",0,000,000,0,000,000,"0,00%","0,00%",0,"0,00%","8,57%",24864,"10.096.100.000,00",000,"7,31%"
EQPA6,800,805,411,1666,"9,50%",1153,2184,550,-302,641,561,"30,29%","20,70%",119,"26,15%","51,07%",12667,"4.299.200.000,00",114,"17,70%"
BEES3,904,807,127,0000,"7,24%",0,000,000,0,000,000,"0,00%","0,00%",0,"0,00%","15,72%","127.790,00","2.250.870.000,00",000,"12,18%"
WSON33,6700,807,098,1067,"0,00%",400,1341,242,-89,508,508,"44,14%","13,58%",126,"18,36%","12,17%",000,"2.148.530.000,00",121,"5,23%"
ENGI4,855,810,124,0632,"4,42%",265,579,279,-57,613,493,"22,68%","10,35%",120,"11,60%","15,33%","102.601,00","15.775.600.000,00",219,"11,41%"
CMET4,391,810,538,3068,"0,00%",3136,947,572,2720,534,534,"53,63%","43,03%",264,"81,40%","66,40%",000,"2.847.970.000,00",018,"30,18%"
RDTR3,630,811,137,0000,"0,00%",1320,000,"-1.919,75",0,"-1.897,05",-21941,"0,00%","0,00%",0,"0,00%","16,95%",000,"497.092.000,00",000,"0,00%"
EKTR4,4200,814,357,0910,"22,73%",684,3839,376,-139,630,537,"24,21%","11,18%",106,"21,94%","43,92%","92.768,60","2.277.000.000,00",299,"7,47%"
FIGE4,3801,815,054,0000,"0,13%",0,000,000,0,000,000,"0,00%","0,00%",0,"0,00%","6,67%",000,"165.355.000,00",000,"45,08%"
CPRE3,1823,824,260,3021,"0,00%",988,-724,516,-199,540,433,"58,59%","37,28%",46,"20,44%","31,53%",000,"4.167.800.000,00",025,"16,26%"
HAGA3,237,827,-054,1004,"0,00%",438,088,-1371,-47,-177,-395,"-7,33%","12,15%",230,"-11,56%","-6,56%","38.950,80","-52.041.700,00",-040,"1,28%"
EQPA7,824,829,423,1716,"9,22%",1188,2249,567,-311,657,575,"30,29%","20,70%",119,"26,15%","51,07%",5493,"4.299.200.000,00",114,"17,70%"
TGMA3,2619,832,195,0992,"9,47%",1363,379,715,620,670,607,"13,87%","11,96%",326,"25,96%","23,39%","4.393.360,00","888.230.000,00",020,"12,99%"
