Papel,Cota��o,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Ebit,Mrg. L�q.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. L�q,D�v.Brut/ Patrim.,Cresc. Rec.5a
ARCZ6,363,-186,194,1087,"0,00%",366,152,942,-84,2810,2810,"11,54%","-58,02%",286,"4,03%","-103,98%",000,"1.934.210.000,00",392,"0,75%"
BISA3,158,-177,118,1692,"0,00%",321,086,-402,-764,-621,-928,"-42,05%","-96,36%",222,"-8,50%","-66,94%",000,"1.788.370.000,00",077,"-24,23%"
CEED3,1300,-172,-025,0184,"0,00%",114,3536,197,-10,1016,773,"9,36%","-10,71%",101,"7,56%","14,58%",14456,"-3.539.610.000,00",-137,"9,97%"
AMER3,006,-170,-004,0080,"0,00%",46,-003,-075,-3,-1610,-7939,"-10,73%","-4,70%",22,"-8,24%","2,29%","33.853.000,00","-30.359.000.000,00",-097,"16,95%"
BCAL6,028,-170,-007,1946,"0,00%",13030,-009,3877,-7,45265,45265,"5,02%","-114,49%",1,"38,97%","4,10%",000,"-290.863.000,00",-074,"37,74%"
DJON4,018,-170,022,-0956,"0,00%",166,-129,-142,-85,-198,-198,"67,37%","56,33%",24,"-12,02%","-12,84%",000,"2.702.000,00",009,"45,19%"
SPRI6,1100,-168,124,0000,"0,00%",1196,233,-321,247,-286,-288,"0,00%","0,00%",6647,"-42,86%","-73,82%",000,"22.420.000,00",000,"-7,33%"
BLUT4,152,-166,014,0000,"0,00%",41,-022,-1269,-6,-2374,-2374,"0,00%","0,00%",0,"-0,33%","-8,24%","10.453,20","56.569.000,00",012,"0,00%"
AZEV3,146,-164,098,1241,"0,00%",398,-149,-236,-108,-265,-403,"-52,54%","-75,85%",46,"-19,46%","-59,91%","1.116.780,00","278.841.000,00",013,"308,73%"
CTSA3,288,-163,035,0744,"0,00%",127,155,-137,-38,-438,-538,"-54,35%","-45,69%",137,"-10,65%","-21,36%","34.482,00","230.512.000,00",091,"-24,78%"
ARLA3,247,-162,-045,1562,"0,00%",323,-022,-492,-21,-1606,-1606,"-31,72%","-96,55%",10,"-13,71%","28,00%",000,"-24.319.000,00",-102,"-47,46%"
AZEV4,144,-161,097,1224,"0,00%",392,-147,-233,-106,-261,-398,"-52,54%","-75,85%",46,"-19,46%","-59,91%","6.938.840,00","278.841.000,00",013,"308,73%"
SPRI3,1051,-161,119,0000,"0,00%",1143,223,-307,236,-272,-274,"0,00%","0,00%",6647,"-42,86%","-73,82%",000,"22.420.000,00",000,"-7,33%"
SDIA4,642,-159,941,0397,"0,00%",418,-329,953,-83,2315,2315,"4,16%","-25,09%",78,"5,89%","-590,66%",000,"459.230.000,00",1727,"13,42%"
SDIA3,642,-159,941,0397,"0,00%",418,-329,953,-83,2315,2315,"4,16%","-25,09%",78,"5,89%","-590,66%",000,"459.230.000,00",1727,"13,42%"
DUQE3,2800,-158,-1129,12103,"0,00%",428,-074,-165,-57,-270,-298,"-732,92%","-767,60%",33,"-28,21%","715,74%",000,"-6.987.000,00",-719,"-42,70%"
BRKM3,1765,-155,16554,0200,"0,00%",145,157,-2233,-23,-6852,947,"-0,90%","-13,65%",131,"-1,00%","-10.673,90%","190.840,00","85.000.000,00",54619,"6,86%"
BRKM5,1749,-154,16404,0198,"0,00%",144,155,-2213,-23,-6832,944,"-0,90%","-13,65%",131,"-1,00%","-10.673,90%","42.933.700,00","85.000.000,00",54619,"6,86%"
GLOB4,3049,-141,089,0108,"0,00%",93,-072,428,-19,1454,550,"2,53%","-7,68%",76,"3,05%","-63,54%",000,"3.242.000.000,00",272,"0,85%"
SPRI5,852,-130,096,0000,"0,00%",927,181,-249,191,-214,-215,"0,00%","0,00%",6647,"-42,86%","-73,82%",000,"22.420.000,00",000,"-7,33%"
IDVL4,267,-126,116,0000,"0,00%",0,000,000,0,000,000,"0,00%","0,00%",0,"0,00%","-91,76%",000,"237.683.000,00",000,"0,00%"
TCSA3,199,-125,030,0317,"0,00%",96,040,-118,-51,-551,-589,"-26,97%","-25,73%",194,"-9,65%","-24,22%","172.392,00","482.547.000,00",157,"17,77%"
BRKM6,1397,-123,13102,0158,"0,00%",115,124,-1768,-19,-6386,883,"-0,90%","-13,65%",131,"-1,00%","-10.673,90%","3.230,62","85.000.000,00",54619,"6,86%"
PMET6,020,-121,-005,1390,"0,00%",9307,-007,2769,-5,44157,44157,"5,02%","-114,49%",1,"38,97%","4,10%",000,"-290.863.000,00",-074,"37,74%"
AMAR3,115,-114,-410,0441,"0,00%",248,-079,-1778,-37,-4446,950,"-2,48%","-38,85%",56,"-1,89%","360,83%","658.470,00","-144.137.000,00",-682,"-11,22%"
MWET3,941,-113,-1483,0073,"0,00%",58,-057,-153,-10,-945,-1451,"-4,77%","-6,44%",80,"-4,15%","1.306,59%",2091,"-1.306.000,00",-7702,"15,86%"
LGLO4,10000,-105,065,0225,"0,00%",192,-032,-124,-32,-213,-213,"-18,10%","-21,47%",14,"-18,37%","-62,51%",000,"5.191.000,00",049,"-11,42%"
MWET4,857,-103,-1350,0066,"0,00%",53,-052,-139,-9,-932,-1430,"-4,77%","-6,44%",80,"-4,15%","1.306,59%","4.697,33","-1.306.000,00",-7702,"15,86%"
IDVL3,216,-102,093,0000,"0,00%",0,000,000,0,000,000,"0,00%","0,00%",0,"0,00%","-91,76%",000,"237.683.000,00",000,"0,00%"
VIVR3,250,-095,075,0592,"0,00%",233,112,6462,-108,9187,6219,"0,92%","-62,16%",179,"0,38%","-78,27%","164.648,00","91.686.000,00",043,"24,18%"
DHBI3,1900,-083,-017,0869,"0,00%",343,-016,-368,-13,-2458,-5955,"-23,58%","-154,81%",12,"-10,50%","21,03%",000,"-456.340.000,00",-099,"-23,62%"
LETO5,206,-083,-014,0000,"0,00%",248,000,000,0,000,000,"0,00%","0,00%",0,"0,00%","17,05%",000,"-58.642.000,00",000,"-17,38%"
SNSY5,541,-081,-002,0046,"0,00%",80,-245,111,-2,531,373,"4,18%","-5,62%",95,"8,27%","2,69%","23.985,70","-1.915.230.000,00",-009,"18,68%"
IENG3,015,-081,099,1717,"0,00%",110,-117,388,-30,2511,2511,"44,29%","-224,61%",85,"2,84%","-122,41%",000,"52.234.000,00",545,"8,13%"
CTSA4,133,-075,016,0343,"0,00%",59,072,-063,-18,-364,-448,"-54,35%","-45,69%",137,"-10,65%","-21,36%","123.525,00","230.512.000,00",091,"-24,78%"
LATM11,2865,-068,002,0006,"0,00%",3,-002,005,0,774,774,"11,46%","-0,39%",49,"6,55%","-2,37%",000,"11.357.000.000,00",292,"16,69%"
CELM3,1500,-067,-016,0257,"0,00%",132,-021,-102,-10,-426,-426,"-25,14%","-38,36%",44,"-15,60%","23,41%",000,"-11.104.000,00",-066,"5,80%"
IENG5,012,-065,079,1374,"0,00%",88,-093,310,-24,2433,2433,"44,29%","-224,61%",85,"2,84%","-122,41%",000,"52.234.000,00",545,"8,13%"
